generation	best	sd	avg
134	324667	22461.508189347147	315944.06886227545
135	324667	21873.056730010732	316673.5389221557
136	325784	22884.423844856683	316198.7205588822
137	325784	22656.22760888276	316846.7035928144
138	325784	23043.584550083597	316560.6367265469
139	327204	21786.153125021694	317750.0109780439
140	327204	23378.097611902092	316992.22654690617
141	327204	22741.463859177147	317658.4011976048
142	327204	23494.671654363516	317368.499001996
143	327204	24414.989565287287	316768.02095808386
144	327204	24314.57649621833	317133.3912175649
145	327204	22893.140350758913	318458.6666666667
146	327204	23574.590538639462	318279.89321357285
147	327204	24965.686684569413	317328.1387225549
148	328413	24465.169384945708	317986.25249501
149	328842	25312.438076447714	317459.69760479045
150	328842	24978.548703523014	318030.24550898204
151	328842	24700.346625210932	318417.32834331336
152	328842	26000.066686791397	317598.67065868265
153	328842	24918.084624116942	318560.79041916167
154	328909	23126.804116501673	320542.0728542914
155	329126	23535.73461937469	320321.3962075848
156	329126	25012.371559227628	319596.85828343313
157	330724	23955.815318026525	320403.4131736527
158	330724	24814.592946325905	320151.3063872256
159	330724	22700.998704241403	321985.1477045908
160	330724	23684.095741246296	321519.52994011977
161	330724	24430.668106876896	321258.5998003992
162	330724	21785.31995393135	323284.45708582836
163	330724	20085.852297042216	324705.75548902195
164	330724	23899.013750811147	322626.7874251497
165	330899	23081.775407395413	323222.622754491
166	330899	23843.722424580978	323033.05888223555
167	331108	22610.17869970039	324139.3612774451
168	331340	24229.88376837558	323248.5089820359
169	332480	24367.31360880737	323354.4550898204
170	332480	20655.907384359747	326017.74750499
171	332480	21645.186462555655	325753.55189620756
172	334077	22115.392734035697	325650.5089820359
173	334077	23115.960644678395	325240.96606786427
174	334077	25958.397980253758	323335.76347305387
175	334252	24100.41895830829	324945.58083832334
176	334252	24645.547052203445	324886.14171656687
177	334252	25117.013695079662	324742.2984031936
178	334724	24450.611066580932	325264.54191616765
179	334724	26330.04581541016	324071.04191616765
180	334724	22682.00879202612	327085.871257485
181	334724	21397.138534270078	328069.4520958084
182	334724	24304.576142056503	326592.7964071856
183	335297	24306.847063861525	326822.8522954092
184	335297	25005.517480265215	326475.81936127745
185	335297	25417.57879118329	326223.1017964072
186	335297	25943.022981284583	325948.2145708583
