generation	best	sd	avg
364	324557	21030.355414130216	318267.8882235529
365	324557	20891.654233050584	318391.6746506986
366	324557	21042.481341362498	318314.85728542914
367	324557	20267.74575137934	318811.94910179643
368	324557	21642.19584367196	317827.89421157684
369	324557	20631.853744043125	318545.501996008
370	324557	19589.568413593213	319131.19860279444
371	324557	20712.308859608558	318566.24650698603
372	324557	19081.994818621657	319423.32035928144
373	324557	21101.00856925522	318211.5898203593
374	324557	20659.25212246723	318541.7764471058
375	324557	20007.809269775422	318762.1117764471
376	324557	19987.1130064782	319062.52095808386
377	324557	22610.733153066012	317147.19760479045
378	324557	19420.997790072986	319253.0938123753
379	324557	21197.42117428337	318096.128742515
380	324557	20667.780434308417	318575.11876247503
381	324557	18930.3932297223	319474.23053892213
382	324557	20612.442620020447	318545.0399201597
383	324557	20463.54996114708	318600.5558882236
384	324557	19308.746425326135	319284.2425149701
385	324557	19421.443961896908	319180.22854291415
386	324557	21466.90228748556	318057.1367265469
387	324557	18964.49911717203	319497.79041916167
388	324557	21940.0967569987	317659.27145708585
389	324557	21056.774697448836	318140.9650698603
390	324557	21773.469356958398	317788.9241516966
391	324557	20402.55581695027	318570.84730538924
392	324557	20976.06364021956	318365.64171656687
393	324557	20688.738524978373	318405.2005988024
394	324557	19973.208235803042	318895.3373253493
395	324557	19571.969420331417	319007.630738523
396	324557	20378.411096179927	318624.6037924152
397	324557	21019.769552222617	318270.78243512975
398	324557	21728.36242987318	317883.88522954093
